# TSIS-1 Hybrid Solar Reference Spectrum (HSRS) v1 — B11 + B12 wavelength ranges.
# Source: Coddington et al. 2021, Geophys. Res. Lett. 48, e2020GL091709 (doi:10.1029/2020GL091709).
#   Downloaded from LASP LISIRD (lasp.colorado.edu/lisird/data/tsis1_hsrs) via the LaTiS CSV API
#   on 2026-07-07. Ranges: 1530-1690 nm (B11) and 2070-2330 nm (B12); native 0.001 nm resolution
#   decimated to ~0.02 nm here (the CH4 fine structure comes from HITRAN, not the solar envelope).
# irradiance is solar spectral irradiance E_lambda in W/m^2/nm at 1 AU. The LUT generator converts
#   the SHAPE to per-wavenumber E_nu via the lambda^2 Jacobian (E_nu ∝ E_lambda·lambda^2) before use.
# wavelength in nm; irradiance in W m^-2 nm^-1.
wavelength_nm,irradiance_w_m2_nm
1544.020,2.746302e-01
1544.040,2.737198e-01
1544.060,2.729005e-01
1544.080,2.686183e-01
1544.100,2.725172e-01
1544.120,2.740185e-01
1544.140,2.722611e-01
1544.160,2.688197e-01
1544.180,2.729136e-01
1544.200,2.741487e-01
1544.220,2.744525e-01
1544.240,2.745558e-01
1544.260,2.745988e-01
1544.280,2.746159e-01
1544.300,2.746220e-01
1544.320,2.746204e-01
1544.340,2.746171e-01
1544.360,2.744941e-01
1544.380,2.725746e-01
1544.400,2.717687e-01
1544.420,2.742675e-01
1544.440,2.745791e-01
1544.460,2.745731e-01
1544.480,2.745616e-01
1544.500,2.745474e-01
1544.520,2.745277e-01
1544.540,2.744857e-01
1544.560,2.743492e-01
1544.580,2.735475e-01
1544.600,2.697072e-01
1544.620,2.725313e-01
1544.640,2.741872e-01
1544.660,2.744073e-01
1544.680,2.744510e-01
1544.700,2.744578e-01
1544.720,2.744570e-01
1544.740,2.744511e-01
1544.760,2.744424e-01
1544.780,2.744364e-01
1544.800,2.744277e-01
1544.820,2.744190e-01
1544.840,2.744102e-01
1544.860,2.744015e-01
1544.880,2.743928e-01
1544.900,2.743841e-01
1544.920,2.743754e-01
1544.940,2.743667e-01
1544.960,2.743580e-01
1544.980,2.743492e-01
1545.000,2.743405e-01
1545.020,2.743291e-01
1545.040,2.743203e-01
1545.060,2.743063e-01
1545.080,2.742783e-01
1545.100,2.740893e-01
1545.120,2.712896e-01
1545.140,2.683901e-01
1545.160,2.737621e-01
1545.180,2.742095e-01
