# Sentinel-2 MSI B11/B12 spectral response functions (S2A + S2B), normalized.
# Source: ESA "Sentinel-2 Spectral Response Functions (S2-SRF)",
#   document COPE-GSEG-EOPG-TN-15-0007, issue 3.2 (2022-... , 10 Oct 2023 rev).
#   Downloaded from SentiWiki (sentiwiki.copernicus.eu/web/s2-documents) on 2026-07-06.
# Extracted from sheets 'Spectral Responses (S2A/S2B)', columns SR_WL, *_B11, *_B12.
# Rows restricted to wavelengths where any B11/B12 response is nonzero.
# wavelength in nm; response dimensionless (already normalized to peak 1 by ESA).
wavelength_nm,s2a_b11,s2a_b12,s2b_b11,s2b_b12
2235,0,0.95732078,0,0.96359875
2236,0,0.95513625,0,0.96467154
2237,0,0.95355574,0,0.9654114
2238,0,0.95273072,0,0.96625109
2239,0,0.95217795,0,0.96744643
2240,0,0.95172542,0,0.96878244
2241,0,0.9521403,0,0.97046916
2242,0,0.95263595,0,0.97234778
2243,0,0.95405248,0,0.97422228
2244,0,0.95707559,0,0.9759326
2245,0,0.96063594,0,0.97713045
2246,0,0.96421772,0,0.97892333
2247,0,0.96830187,0,0.98039008
2248,0,0.97268597,0,0.98147316
2249,0,0.97741944,0,0.98248415
2250,0,0.98289489,0,0.9832885
2251,0,0.9871429,0,0.98458694
2252,0,0.99073348,0,0.9866985
2253,0,0.99398244,0,0.98911057
2254,0,0.99678431,0,0.99119702
2255,0,0.99875181,0,0.99315819
2256,0,1,0,0.99524701
2257,0,0.9999284,0,0.99668121
2258,0,0.9991523,0,0.99826512
2259,0,0.99712951,0,0.99959594
2260,0,0.99388228,0,1
2261,0,0.98968273,0,0.99866374
2262,0,0.98373274,0,0.99576531
2263,0,0.97621057,0,0.99062502
2264,0,0.96780985,0,0.98155399
2265,0,0.95833495,0,0.96876193
2266,0,0.94842856,0,0.95174168
2267,0,0.93818752,0,0.92942389
2268,0,0.9277078,0,0.90240499
2269,0,0.91702104,0,0.8705554
2270,0,0.90597951,0,0.83207693
2271,0,0.89384371,0,0.78626172
2272,0,0.88165575,0,0.73649625
2273,0,0.86861704,0,0.68202115
2274,0,0.85460324,0,0.62329799
2275,0,0.84058628,0,0.56418429
2276,0,0.82598123,0,0.50680538
2277,0,0.80948042,0,0.4515209
